	LEV
شو هل بلا مخ وبلا قلب 	LEV
الرومي دير بالك على الاكيورا	LEV
حدا منكم يخبرني شو أخبار ألاخت حياة كريمة الملقي صحيح تزوجت أردني	LEV
الايام شو ضيعنا ايام	LEV
بدك تطلع منها عايش واول ما توصل مستعد تقرا المصحف عشانك طلعت سليم 	LEV
اخي عادل نزل الجلبريك ولا شو الئصه	LEV
  البنت يامو  العنزات شخوا بالحليبات شو ساوي فيون كِبُون  الأم لأ صفّيون بنبيعون لال فيلاسطينية	LEV
اسكت ابو مازن بقلك بدوش يدفع مستحاق الكهربا عن غزة الي هوا احنا هسا عايشين عليهم	LEV
  يعني شو هالمحاصيل فيها مبيدات حشريهأزين ليش توصل لهدرجه ما ف رقابه	LEV
شو ها الطله يا لين 	LEV
اما ليش شو عملتي 	LEV
شو مين ماخذة  رجل من  هيليوم مقنطر بال  أرغون	LEV
كم بدك كاش	LEV
طقم ليفربول الجديد شو هاد	LEV
شو يعني اذا بقلّلك تعى نروح على الولا محل و ما نرجع أبداً  شو بيصير 	LEV
  صباح الخير متابعيني اللى بدو عاهرة كام يفوت على الشات من هون 	LEV
الجيش السوري الباسل سوف يرد على العدوان الصهيوني ببيان مزلزل في الوقت والمكان المناسبينبعد ما يعرفو شو يللي صار 	LEV
حبي الجديد < الكلاريتين أهلا بالربيع ما بنصحكم تنزلوا ع البلد من هون لشهر 	LEV
حدا يشفلنا اذا البحر منيح و يصورلنا	LEV
يقبرني صباحو وجمالو كارلوتا يومك حلو متلك موفقة يا رب ️	LEV
يسعد  صباحك يخو <	LEV
  ما في أبشع من الناس يلي شو ما عملتلها بتقول عادي	LEV
لا لا ماطحت من مكان مرتفع هو سنفور	LEV
كل سكان الكوكب عايشين منيح إلا أهل غزة منيح اللي عايشين 	LEV
الله يجزاهم كل خير هذا شبيح ونال جزائه العادل	LEV
و لك طمني شو صار بسيادتك يلي ما ضل حدا و إلا  بهالسيادة يا سيادة الرئيس الحيوان 	LEV
عزيزتي  البنت اذا اشتغلت بحكوا عنها عاهره اذا مفرعة  اذا لابسة جينز بحكوا عنها هيك  مُجتمعنا مجتمع وسخ حق 	LEV
الله  يخدون صباط  واحد من صحبابة  اشرف  من  معلمن  لكبير 	LEV
شو دخل ايران في اليمن 	LEV
اقرأ منيح الناس شو بتقول  	LEV
لجرب اعمل متلك و شوف شو بيطلعلي  بعرف حظي بيطلعلي محمد هنيدي و سارية السواس	LEV
شو عجل الله فرجك شو اسم الحسينيه الي عم يتردد لها ال البيت الهروب مش حل لوضعك️	LEV
اللي هون علي هذا الشي انه لحاله الحمدلله ولا كان الشماته ياسلام انا بنفسي يوم فكت الاشاره ومشينا ضحكت علي والله ياهو افحمني	LEV
  حبيب قلبي يخو من زوقك ماليزي اصلي 	LEV
 شو هذا ي فينغر	LEV
  بدك تتعلم انجليزية بتوفرلك الحل  انضم الينا الآن    	LEV
يعني بدك اطفال	LEV
  انداري عنكم جيل هالايام متسعجلين عكل شي ياخي ركزو 	LEV
اي مو منيح	LEV
  كل مرة بحكو نفس الاشي بس بتكون علني دايما  	LEV
شيراز | كيف بدك عني تغيب |  | عبر 	LEV
  شو صحة الخبر يلؤ بقول انو المسلسل ادا جاب ريت منيح راح يعملو جزء ثاني	LEV
 حتى هون يا الله  انا بدي رز 	LEV
من عيونكم شو هاظ 	LEV
وين بتلاقي متل قلبي قلوب شو صار صافيلك  وغافرلك ذنوب♡	LEV
اصعب شي يوم اكتب سيرتي الذاتيه شو اكتب ولا شو أخلي	LEV
  مالك في ايه  شو صايرلك ليش مهمومة هالقد شيالة هم سهرنا ياليل  	LEV
ولا شو مفكراانتتي كلهم نفس النظام حتى ما فيهم الا من رحم ربي	LEV
البنت الي تفكر تتزوج تاخذ واحد شبيح لكريستيانو  والله مايعرفون الخذلان 	LEV
  يارب هون ع المحزون ضيقآتة قروبصوتالفرح	LEV
العمى شو ناس كيوت  	LEV
كمان هي مهمة جداً جداً جداً  وبعتقد فكرة الستوري هون حلوة انو حلو الواحد ينقل كم صورة كم فيديو حلوين لأجل المتا 	LEV
شو قصة القوات مع الورد والزهور اذا مش انطوان زهرة بيجيك عملية اغتيال للدكتور هوي وعم يقطف وردةواذا لا بيجيك 	LEV
واحد خرفان مو عارف الله وين حاطو شو حيطلع معو	LEV
  رتويت وانزل بعد محرومه للتواصل معى فوت هون  جداويه عنيفه 	LEV
تضربي شو حمارة اوكه أن تكوني ضد دفيصل اما ان تقولي  انه غير فهمان فهذه قمة الجهل والحماقة بالمناسبة صورتك حلوة بس 	LEV
هذن خنزيرات سوريا شوفو الفيديو يلي تحكي فيه وحدة من اياهم وبدها تبيع الارض والعرض مشان سوريا	LEV
خلص اوك بتنرفز مع نفسي و بديش اقرفكو	LEV
شو مين ماخذة  رجل من  ثاليوم مقنطر بال  مايتنريوم	LEV
  شو الفرق بين  اهبل و مهبول و مستهبل 	LEV
من الرسائل  حدا بيعرفلي معهد قريب من التشارشي مشان دورات لغة تركية  او قريب من مزارلق يعني عالطريق اللي جاي من نزيب متابع	LEV
نور حبابة كرمال الله انا كتير بحاجة شي بشعري شعري عم بتساقط وخفيف كتير	LEV
  سماالمصري ادارة القناه طلبت مني واقنعنتني البس الحجاب عشان البرنامج الديني ومطلبوش منك تداري فخادك اللي أكبر من فخاد بيج شو	LEV
بلكي يكون مكتر من عصير العنب	LEV
ابشع من هيك هي حروب اديان  ونزاعات وثورات وانقسامات ومؤامرات ومجاعة وامراض شو لسا الابشع القمةالعربية	LEV
العمى بنفيق من هون  بننعس من هون 	LEV
شو الهدف يعني 	LEV
كلما تحدثت عن الديمقراطية والحرية بسوريا يخرج لك شبيح ليقولليس قبل ان نقضي على داعش والنصرة طيب يا غبي ليش ما عملت ديمقراطية قبل ظهور داعش	LEV
دار أم محمود مشغلين أغاني بصوت عالي بس منيح زوقهم حلو	LEV
النيوروسينس منيح بس الي حواليه عاطلين	LEV
يا عيني شو هالكلام الرائع يا شيخه كنان يخلي الواحد غصب يقول شعر و كلام جميل	LEV
اذا مش قادر تفهمني  بلكي بنحكي موسيقى 	LEV
حبيبتي وضحي لكن شو نسوي انتب غبية	LEV
البحرالميت يا زلمه باعو فلسطين عم يعملوه  قمةعربيه  من ٲولوياتهم قضية فلسطين ولاجئين شو دين الكذبين البائعين للأرض والعرض والمقدسات	LEV
شو ماكان السبب حافظ عاللي بيقدر يقلب مودك عاللي اذا سمعت اسمو بتصير لاشعوريا تضحك اللي وقت تحكي عنو بتصير عيونك هي الي تحكي 	LEV
 يعني كل القصه انك بدك تقولي انك جايبه خدامه وطلعت القصه على راسك  بتحزني  شايفه شوفة الحال ايش بتعمل  اسلوبك ماكنش حلو	LEV
 انتي حلوة من غير شو	LEV
ملل الاجازه بعد شو 	LEV
القمةالعربية  اخدتك في النملية  	LEV
يطلبه كمقرر شو المشكلة ما حدا بيمانع  كلهم انذال	LEV
كم رتويت متمرده للتواصل كام معى فوت شات هون 	LEV
  شو قيمة النظرة لو شفت كل الناس وماشفتك انت  شو قيمة النطرة لو مرقوا كل الناس ومامرقت انت 	LEV
بحكيلك بينا بلاها الفضايح  بس خلص شغلات صارت هسى افضل واحسن حمدالله 	LEV
اللي شفته فالفيديو انه هي راكبه وياه برضاها الشي الثاني ما سوى لها أي أذى جسدي فالفيديو او تحرش جنسي 	LEV
  روحاني الى موسكو وسلمان الى الاردن شو النشامه مستقبليه بستوتات ضموا زيت وتمن هذاحشدناخليفتكموينه 	LEV
طول عمره الزلمة محترم وما غلط بحق حد هلاء مشان هالغلطة سار الي بفهم وما بفهم بدو يحكي عليه 	LEV
لما تأذي حد وين الواو بالموضوع مشاعر شخص آخر المتألمة شو راح تضيف لك	LEV
 ربي يسعدك شو انك زوق  ممنونة الك كتير ع زوقك و لطفك  ربي يحميكِ 	LEV
يا حلوو شو بخاف إني إسألك كنو بعد بتحبني أد البحر أد الدني  وبفزع لتضجر من سؤالي وزعلك عملني متل خاتم دهب بإصبعك ات 	LEV
ه معقول ال الكود تاع معدتي مشرت 	LEV
شو هي خريطة التسيير	LEV
يضربو منن للألبوم افشل من نانسي  	LEV
غير الوصول  لكاس العالم  شو سووا	LEV
  لمّا أقول أحبّك تصير حارتنا خزامى و تزهر أحلام البنات 	LEV
يلا بلكي منرتاح من جمهور ميسي المونديال الجاي	LEV
شو حلو شعور الفخر والاعتزاز ببلدنا وملكنا يجمع العرب بالاردن  الله يحميك سيدي ويتمم على خير  على بركة الله تبدأ 	LEV
نفسي اعرف شو هو السؤال اللي كل جماعة  ال  بدهم يسألوه 	LEV
لازم تدرس منيح يا أيمن بالنهار عشان تسكر وانت مرتاح بالليل أنا وأنا بحفز بحالي للدراسة 	LEV
يرحم جدك قلي شو ترتيب اليوم	LEV
في عالم عنا بالمؤسسة شغلتهم الرصد بس  هاد طلع هاد اجا هاد وقف مع هاد وهاد مابعرف شو 	LEV
طَيب فاهم يا سطل بس  شو  يعني شو الأشياء الخمسة اللي بعيني  لا بدّيش أقول ما بضمنك 	LEV
  تا تعرف انو نهار الثلاثاء كل العالم بيحضروك ما حدا عرف شو حكي ابراهيم الأمين  لهونوبس  	LEV
نقمة مواطن كتير سلبي شو بتوقيت جديد كل يوم جمعة الساعة  مساءً 	LEV
ما فهمت شو هذي لزلز	LEV
الله   ولك شو هالجمال ي عيني عليك اسم الله بس اسم الله 	LEV
  بيجن الفيديو  شو بده يعمل جسور بيحب سوهان و بيحب رقبتها و بيحب يقيم  توتر عنها حنون يا عمري 	LEV
وما شدو الجرذان انداري	LEV
بتنقلع من قدامي ولا بتتلطش تلطيش	LEV
  جرّب مرة تنآم منيح وتشّبع نوم بعد مآ تصحى بتلآقي البني آدمين بآلمُجتمع غير  النُوم سُلطآن   + إنه شعور رآيق تتعآمل	LEV
ما عم أقدر افهم شو فحوى الهجوم على الرسالة الخماسية ووين الخطأ بإظهار موقف شريحة كبيرة رافضة لسلاح غير شرعي وتدخل خارجي مرفوض	LEV
وقاحةعلاالفارس يعني شو بتتريقي عالخدم طول سناباتك وبتتكلمي ع الانسانية  	LEV
واحد عم يسأل رفيقو بتعرف بالتليفونات اي بعرف بدي إسألك لي سميرة وجميل ما عم يشتغلو عندي شو سميرة 	LEV
يم يم يم شو طيب 	LEV
طَيب ماشي بس شو ال  اللي بعيني  حددي نوع الاشي  ليش انتي طولك كم 	LEV
هالجيل كل يوم قاعد يصدمنا ب شي 	LEV
  يالله شو الحياة مقرفة وخاصة فترة الامتحانات	LEV
شو سبب نزوح اهالي المضيق	LEV
  رتويتانحراف سكسي مطيعه اللى بدو تعارف يفوت بالشات هون  عمه جنوبيه 	LEV
انا الي بدي بلش خاف	LEV
ه شو هاي روعه	LEV
عربي  كيف بندرس مشان الله	LEV
شاطرة كتير شو عرفك بنية البنت وشو هدفها من الصورة  انتي شفتيها كيف بتعامل خدامتها كإنها اختها وبتحضنها	LEV
  ياحب شو بدّك بعد فييّ لاتزورني ولاتسأل علييّ صرلك زمان وإنتْ لاحقني  من يوم مافتحت عينيي ياحب وائل كفو 	LEV
حاكم دبي السيسي والان ميشل عون سقوط مباشر على الهواء  شو القصه  القمهالعربيه  الاردن	LEV
معلم ميسي اذا شد حيله بدخل الجنه اذا بدك	LEV
بلكي يقترحو بالقمة انو يكون المسار الجاي بالاردن  	LEV
شو مين ماخذة  رجل من  باريوم مقنطر بال  فوسفور	LEV
  تقبض بالحديدة  بس صح ي خي الحريم م يوقفن ابدا ما اعرف ليش بطرة ولا شو يعني  	LEV
وقاحةعلاالفارس شوفو شو وقحة هاي ببتتريق عالخدم 	LEV
  من بحرينى يجي يعسل مشتهيه للتواصل فوت هون  متحرره زوجه  ممحون 	LEV
ه ولاك شو الغباء يعني هي المشكلة في الصواريخ إيرانية الصنع يعني إذا طيران أمري 	LEV
في اكثر من انشودة بالفيديو مين بقدر يلاقيها كاملة مافي عالنت  او انا مابعرف شو اسمها  باكون ممنونة 	LEV
اليوم قمت الصبح وقررت أغير كلشي بحياتي   - ٱه و شوو غيرتي  غيرت رٱيي ورجعت نمت   ه وهيني لسة هلقيت صحيت 	LEV
  ازا حساب ال ه مات ضحك  شو اعمل بحالي انا 	LEV
  انت حلالي و بحبك بالاساس  بس انت بتستاهلش 	LEV
معلش بس انتو سواء حتى لو اب عاملها منيح الا انه بمنعها تختار حياتها وحريتها متلا قرارات لنفسها تصنعولها الثقه بنفسها وتقدر تعيش	LEV
في ناس بيفهموك غلط مش لانو ما فهموا شو قلت  بَل لانو ما عجبن شو قلت	LEV
عباس باع القدس علشان ليفني شو هيبيع مع نائبة نتنياهو َ 	LEV
الله يسلمك ويحفظك  انشغلت عن المباراه ماشفتها بس انا مقتنع بأنه لعيب ابصر شو مشكلته معنا	LEV
 اتفق والله بس شو بالنسبه  ريتويت 	LEV
شو مالهم  كل شوي واحد ساقط  	LEV
وحدة من الشغلات الي بحس حالي محظوظة فيها انه عندي معاذ خالي ياخي مخ مخ وعبقري  شو حلو العالم لما بكون اتناقش معه 	LEV
  طيب لا مزح ولا دين ولا سياسة بتشاركي ممكن تخبريني ليش عملتيلي فولو واذا بدك انتي بعتيلي التويت لبتعجبك حتى نزلها وتشاركي عند	LEV
شو يعني حلطمة 	LEV
أصدر بشار عفو عام وفي زيارة تفقدية شاف عجوز سألو شقد صرلك هون جاوب من أيام ابوك التفت بشار الى مرافقه وقال هذا خليه مسجون هاد من ريحة الوالد	LEV
بعرف يا شوق والله فهمانة قصدك  ولهيك برجع بقلك سلامتك  	LEV
عاجل  السيستاني لايجوز السجود لغير الله تعالى  اكتشاف جديد  شو عالعلم هذا يا سيستاني  وين كنت مخفيه علينا 	LEV
  يرجع بينا الماضي شويه بعرف شو اللي اتغير فيي ~	LEV
  شو مثلاً فيك ريشه فوق راسك بنت معلمه	LEV
 جعجع فات بسبب قتل الرشيد وطلعبسب قتل الرفيقبيفوت و بيضهر	LEV
  لمن احاول اصير رومنسيه وماعندي عند جدتي 	LEV
  ف الاخير السؤال يكون شو الغدى  	LEV
شو هل طيب العربي النادر	LEV
ممكن نعرف شو الغنية أسمعها لصاحبتي 	LEV
بلش وبدا يتهجج	LEV
مازالت السعديات وخلدة وجزء من الناعمة تقلقهممش مهم شو الواجهة فيلات وقصور المهم إيجاد مراكز للتمركز والتخزين	LEV
شو هاظ البرنامج	LEV
انت ما بتقشع نضحك ع بعض الهم مكان منتهكينو  شو مالك ان هن احتلو  فلسطين  احتلوها واقامو مستوطناتهم وبيزحفو لهدم الاقصى	LEV
لا يوه شو فاتحة وما فاتحة  ولك انا قدك مالنا انهبلنا  ه  تخيلي اتجوز هسا	LEV
هلا انا حاسه بالمسؤوليه تجاهن  بليت حالي شو بلوه	LEV
كانوا الـ عالماسنجر هسا صارو عالـ كمان  	LEV
شو مناح انتو عنجد	LEV
ياترى بالمقادير في الفيديو شو بتقدم شيخة العلي في برنامج هنهم  تابعوا حلقة اليوم | الساعة  مساءً 	LEV
وعلا كل اعمالها ومشاريعها الخيرية بتبين شو قلبها	LEV
  يا خرا شو هاظ 	LEV
  صباح الخير فاطمة  شو هد الخبر امك توفت  الله يرحمها يارب ويسكنها فسيح جنانه ويصبرهم عليها	LEV
شو الي غيرك	LEV
  شو قمة النظرة إذا شفت كل الناس وماشفتك أنت رواية روايةالغرام الصرحالأدبي رصيفالصمت 	LEV
- الدوري القطري لاعبين أجانب حكم كوري معلق مصريحتى الجمهور هنود شو هاظ  حكيفاضي 	LEV
  عاارفين شو يعني ولاشي  يعني كل اشي	LEV
بحاجة لشغل بعد الظهر مين بحب يشغلني عنده  مش مهم شو طبيعة الشغل  	LEV
ينعن الغيره شو بتعمل  لا تحسديني بس	LEV
  التدخين ع سلامته  العالم اللي مضرة للصحة  يا لطيف شو مرض وعلة كتير عالم العبيد الخمسة الصغار ما غيرهن	LEV
لسا الصيف الحقيقي ما بلش 	LEV
ولى شو بيصير 	LEV
الذي تعلمته في سنين من حياتي تعلمته هون في تويتر في ايام ولكن كيف يكون ذالك دروس وعبر 	LEV
احلي بوكيه ورد ليكو 	LEV
 علي حبيبي طز هاي اسم  القمه ولا شو	LEV
  دائما في حدا بشـجعنا نقوم من النوم نرجع نواجه الحياة وروتينها كرمال ضحكة أو تطليعة أو حتى كلمة حلوة	LEV
شو اضيف ما فهمت مع الششكر	LEV
شوفي والله انا يمكن ادافع عنها لانه اشتغلت معها عمل تطوعي مع السوريين بالاردن وشفت شو قدمت بدون بهرجة وتصوير	LEV
الضحك تعاقب عليه المادة مدري شو هيي 	LEV
  دير بالك على امك يالبعدها وياك ومو فوق الظهر على الراس خليها 	LEV
شو يعني الشعب الحر  يعني ياكل و يشرب و يجلي يلي بدو ياه اكيد لا الشعب الحر يعني بكون الشخص عندو تفكيرو حر و 	LEV
  الأردني كيف بدعي يا رب  مشان الله 	LEV
  شو عم تسمعو الان اغاني  سمعوني معاكم	LEV
 يا ريت تنحسد  بلكي عقلت شوي  المهم شو مالها علا الفارس ع هالصبح  	LEV
  صبااح الخير والحب عشرينيه للتواصل معى فوت هون  مشتهيه جنوبيه  نيج 	LEV
  جمعةمباركة على الجميع  شو مشاريع الويك اند    	LEV
انت الغلطان التويتر هيك لازم تعمل مشان الهاشتاق يوصل الترند	LEV
منيح ما كان حامل كان سقّط	LEV
لما الشب معوش شيكل فجيبتو  وتحكيلو الوطن شو بدو يحكي للوطن	LEV
بحبك بحبك انتي الشرف والطيبة مشان هيك خافوا ونسيو اساميهون وشرفون وعرضون 	LEV
بلش فيلم الاقزام ال القمةالعربية	LEV
وشو المشكلة شو بيشكي الرئيس بشار الأسد بيكفي قلبو عالبلد وهالحرب كلها لأنو رفض الصلح مع إسرائيل وفضل عدوتكم إيران	LEV
شو مين ماخذة  رجل من  إثمد مقنطر بال  قصدير	LEV
شو بحلل هذا الخرفان	LEV
شو الفرق يعني بين الآسك وصراحة نفس الفكرة انا شايف 	LEV
بدك بيتزا اموله	LEV
  صباح الخير ختيار 	LEV
بلش فيلم الاقزام ال القمةالعربية 	LEV
فوايدالاختلاط الاحتكاك مع الحكوكيات يئبرني شو مهطومات	LEV
طيب شو بدي اطلب  بدي ايفون  احمر بمعيتك 	LEV
شو ما كانت ظروف عاملات المنازل أو شروط استقدامهم بضل بالموضوع انتقاص لشخص  التباهي في أو عرضه كأنه موضوع عادي بدل على جهل او غباء	LEV
بإختصار برنامج كان بدايته للفضيحه والمحتوى المخالف بالعقل شو فايدة اشوف شي باقل من  ثواني ويختفي بمره 	LEV
كل تخطيطي لحياتي يبدأ بـجملة ٖ لو معي مصاري 	LEV
يعني لو يعملو  قمم عربيه بانحاء الاردن  رح تتزفت كل شوارعنا بشكل مثالي  طريق البحر الميت بيقلك زي شوارع اميركا هسا	LEV
هلأ إذا بدك تعتبر الإيرانيين مو مسلمين هذا شأنك بس حضرتك بدون ما تحس عم تخدم إسرائيل وبين إيران وإسرائيل أكيد إيران	LEV
الشي المفيد وخاصه هم الان ب الاردن اكلة المنسف  	LEV
ايه منك شو ويطير عقلك	LEV
بحقل الوجع في حزن بالتربة انزرع وانت ال كان وقت بدك كون حدك صار بدك تكوني ملك الغريب  ولا كون ولا لحظة بقربك بحقل 	LEV
امنالدولهوفولورزالصواريخ شو قصة الزعماء بوقعوا واحد ورى الثاني مبارح حاكم دبي واليوم رئيس لبنان 	LEV
 -  يارا - عمغني  عم بــوح بأسراري شو عملت النار حرقتلي مشواري وضيعت أفكار  ️ 	LEV
وفاء بتنزل الوزن شي هيدي  و شو احسن ماركة جيب منها بتنصحيني اذا بتعرفي 	LEV
انا الي بعرفه انه حالياً حلبس واطلع و شو ما يكون يكون	LEV
أهم شي يضحو بالعرض مشان يمدو المقاتلين بالطاقه اللازمه للقضاء على الإرهاب	LEV
منيح إنو في قهوة بالدنيا ولا كان هسترنا يا شيخ 	LEV
 بلش بالاخير ترا	LEV
وشت وشت عوی غیر هون وشت	LEV
طيب شو الفرق بين قانون ال و اي قانون مطروح حاليا ليش غيرو اصلا اذا الفرق بينهم بس توزيع الدوائر	LEV
خمسهعبيدصغار شو قصة الزعماء بوقعوا واحد ورى الثاني مبارح حاكم دبي واليوم رئيس لبنان 	LEV
  نجمة من بلدي رغم كل وجعا بترجع بتقول يا رب وبتكمل كرمال جمهورا آخ لو بتعرفو قديش بيمرق عالفنان الحقيقي وجع وبيكمل 	LEV
 فيه حدأ هوون  بلكي مشتائقين	LEV
  اهاا  بس قالبين قلبة اخت شلن  شكلو شي كبير 	LEV
ما حكينالك اللي فينا مكفينا ناقصنا احنا زعماء  ما كلها هون زعامه 	LEV
شو نسيتي المتل لي بقول طنش تعش تنتعش	LEV
مافهمت شو قال احمد خليل	LEV
  المراسل هل صحيح انك لعبت دور فيما يتعلّق بالاجماع العربي على بند التضامن مع لبنان في مقررات الجامعة العربية الحريري ا	LEV
صحيح الناس شو ذنبهم اذا مزاجك معكر تنكد عليهم 	LEV
ضغطت ع  ترانسكشن مرتين عشان ابا اشوف شو داخله واختفى  سكرت البرنامج وشغلته وبعده مختفي  	LEV
يا تبع حساب هدف استراتيجي بس توصل لمستوى بوط العقيد زكريا ابقا حكي عليه	LEV
منيح خشب الارضية المرتفعة مش اسمنت  انت شوف طيبة قلب السيسي و انسانيته 	LEV
خاطري ف شي بس ماعرف شو هالشي	LEV
  وين بينباع هيك لبس 	LEV
بعرفكم ع فدوى مصممة المجوهرات والأزياء الرائعة من لبنان ومقيمة في المغرب  انت ابداع اخت فدوى ومعزتك بقلبي 	LEV
اخوي مش هو الي عامل حالو حاط الزلمة كان مستضيف الدورة الماضيه لهيك بحكي اول واحد شوف الملك هسا بسفح	LEV
يا عيب الشوم عليه	LEV
وعليكم السلام خير اخوي شو فيه	LEV
انا الملك هون 	LEV
تباً مش وقعة  بعدين شو قصتهم كل يوم واحد واقع  	LEV
شو بدك انتي ياسعوديي لشو هاد الحسد والعنصريي 	LEV
بلش التصفيق ياسلام سلم 	LEV
عارفين فرح شو عملت فرح فقعت بالون اسمه علا  و هذا يا إخوان اللي حكى عنه شيكسبير 	LEV
 انت شو قصتك اليوم  ماحبيت مودك اليوم وانت صاير حكيم	LEV
انتي لوينتا بدك تضلي زعلانة 	LEV
  يما اعطيني مصاري بدي اطلع مع صحابي يما يا حبيبي معيش مصاري؛ والله يرضى عليك بلا 	LEV
طب معك علكة 	LEV
شو بنى   ومجروح بجروح  الهوى  شو  بينفعوا الله الله  عليها 	LEV
  ولما طل القمر سألني شو الخبر قلتلو عشقانه	LEV
هون الفخامة جلالةالملكعبداللهالثاني القمهالعربيه	LEV
ع فكرة حافظها منيح لهالعبارة ع كتر ما رددوها حكام العرب والغرب	LEV
مفتاح السيارة وين يا باراك وباما 	LEV
 شو اتصبح بهيك جمال  بونجور  يا قمري 	LEV
  تمام سلام ذكرني بعبارة زياد الرحباني الشهيرةفكرنا راح المنيح طلع منيح اللي راحشكلو كان حابب دور اجر الكرسي بالدولة وع	LEV
  خلاص الحجاب معروف شو ظوابطه بدك تكوني ستايلاش تتحجبيش و فكي اهلنا من التخبيص	LEV
  تويتة لازم تتعلق عباب كل جامعة ومؤسسة 	LEV
شو متعة اللعبة هيك تخسر مباراة حاسمة ولا بطولة بسبب حكم	LEV
  مش بعيدة علا الفارس بكرا تعطي للبنات اللي صورتهم مصاري عشان يطلعوا ويدافعوا عنها	LEV
لو بدك مصمم انا جاهزه صحيح م بعرف بس نتعلم	LEV
طيب بديش اصلا 	LEV
  اه مشان الشهرة  المهم تعتذر عن اللي قالته وخلص	LEV
طبعاً طبعاً شو فهمنا احنا بالوطنية	LEV
قمة نشوة الانثى للتواصل معى فوت على الشات من هون  ثلاثينيه ساديه  خرق 	LEV
في لعيبه في الدوري افضل من هاذول اللعيبه بس المدرب باين عليه انه معارف يشتغل صح شو الي عاجبنه في صنقور وهيكل 	LEV
خدلك ملا اعلام مصخرة هلق حيهلكوا ربنا بهالفيديو والله عيب اذا فيكن نتفة رجولية واخلاق مابتتمصخروا ع ختيار وقع مين 	LEV
  يخرب بيتك ما اكدبك شو دخل داعش بينك وبين مطار دمشق  كل سفالتكم ضعوها برقبة داعش 	LEV
 المشكلة اذا بدي اكتبها بلهجتي انا رح لاقي  يتطلير عندي  ولا شو رايك  	LEV
شو هالذكرى التراللي جوزيف دقماق  	LEV
كمشخصمفعلالتنبيهاتله شو قصة الزعماء بوقعوا واحد ورى الثاني مبارح حاكم دبي واليوم رئيس لبنان 	LEV
 القمة العربية هي عبارة عن حاكم مش خليجي بيروح ليشحد مصاري من الحاكم الخليجي هيك شي بيشبه البنت تبع اشحنلي كرت واعرضلك على نفس المبدأ يعني	LEV
 ه بسيطة ابن العم غرد على كيفك هون	LEV
اختلاف ثئافي شو بعمل️	LEV
يازم خلص لا تذكرني  مش عارف شو بعمل 	LEV
لك لاعاد حدا يتغالظ شو عكيفي بحب انا مشان مااحظر الزاجل كرمال عيونكم 	LEV
  ئلي انك حاسس فييّ وشايف شو بيحكوا عينيّا	LEV
  بدناش عطلة لا هسا ولا بعدين تمام بس زبطونا جدول امتحانات الثانوية العامة الادبي وتعملوش فينا زي الفصل الاول مواد بيوم	LEV
في امهات كتب الكذابين  يخرب بيتك شو كذاب 	LEV
عزا ماله شو صار فيه 	LEV
فتحت مسلسل جوي وصدعت من الجمال ياربي شو ها كيف بتحمل	LEV
دير بالك كمين	LEV
منا عرفت شو قصدك  بحبش احطها بحسها بتخرّب منظر الشاشة	LEV
بنت التور نفسي اشوف لك تفريده خاصه شو	LEV
عن شو بدي أحكي عن الستايل الجديد ولا الضحكة و لا الغمزات ولا النظرات ما بقدر قول غير سبحان الخلاق العظيم  	LEV
الله يالدنيا الأرجنتيني ماريو كيمبس بطل مونديال  شوف السنين شو عملت 	LEV
اوف الاجازة بتجي  شكلي باقلب نظامي ليلي عشن مااشوف شي 	LEV
صورة فيها كثير مصاري 	LEV
نجوى امتى حينزل الالبوم قديش بعد بدك تقولي قريباً شو هالالبوم الي من  سنين ما عم ينزل شو عم تخترعو فيه	LEV
  ركضنه على الرصاص الجاي حفاي  وتنافسنه على صواب المنيه  نگله الي ما مصوب حتى نرضيه  اصبر بلكي اتحصل شضية 	LEV
  شو النفع إذا مستشاري الرئيس راتبهم ليرة وحدة  بس في م مربع ببيروت  مستثمرتن شركة مقابل ليرة بالسنة	LEV
شو عم تقول 	LEV
روح اتركني لحالي اتركني وروح بكفي قلبي مليان جروح  شو بدك فيه  لا حب بقلبي خليت	LEV
شو هوا قوليلي نتي شبك	LEV
  أحرارالشام يا ويلي شو صار فيهمتدمير دبابة لميليشيات الأسد على جبهة الصخر بحماه  تسلم الأيادي ما أجمل الربيع 	LEV
  مسآء الخير حبآيبي يلى بدو ممحونه كام يفوت شات هون 	LEV
شو طلعت القصه 	LEV
ماهو نص الستايلش متل ما سميتهم مش مقتنعين بالحجاب من اصل  بلبسه فقط خوفاً من  اهلهم 	LEV
منيح ما ينجلط وننبلي فيه	LEV
  جداويه للتواصل معى فوت على الشات من هون 	LEV
  عادي جداً كون بحبك واعمل كل حركات الدنيا مشان طفشك وتصير تكرهني	LEV
وعدت لها اكثر من مره لدرجة كنت بنمسك وهي تقول لي تفاح بديش وبعدي صارخت بسوت عالي بتاح تكفا واخدو ورقتي	LEV
و فجأة بطلعلك شخص جميل بحياتك  ل درجة انك بدك تعيد كل سنينك و تخليه فيها 	LEV
  تتفلسفش عالأردن  مابرد وجهك  سنحك وانتَ زارع شعرك 	LEV
انت شو فهمك بالموضة و الستايلات عشان تتفلسف  	LEV
  قمة نشوة الانثى للتواصل معى فوت على الشات من هون  عنيفه ارمله  امامى 	LEV
  يعني انتحر ولا شو اعمل بالضبط  قبل لا يفوتك القطار مثلا  ه الحياهلاتنتظر	LEV
