	NONLEV
لو فيه شويه خضار تحلى القعده	NONLEV
مفيش حد بديل لحدومفيش احساس بيتكرر مرتين 	NONLEV
يا رب الاقي ناس مذاكره حاسب كويس بكره	NONLEV
يوم ما تيجي تتكلم محدش يسمعك  ويوم ماتنوي تتقدم تلاقي كله بيرجعك	NONLEV
  لما حد يقولك نفسك تطلع ايه لما تكبر  	NONLEV
يوه مره غبنه بس برضو مفروض تشوفه	NONLEV
مش قادرة ابطل مش قادرة الاكل فظيع اوي احلو مرة واحدة 	NONLEV
  نفسى اقول الكلام ده من بدرى 	NONLEV
  انا عايز امسح اخر تلاتة دقائق من حياتي الشفت في السودانية الغبية بتغني لي فيروز في قناة النيل الازرق حاجة حسبي الله جدا	NONLEV
  مش كل اللي بيقرب منك عايز يخدعك  في قلوب طيبة بدور علي اللي زيها 	NONLEV
ه انا بستناها وبس تيجي ينام	NONLEV
منا كنت داخله اخد ميعاد عشان ال  بردو 	NONLEV
  عايزينزمالكمستقر عايزينه يخفي ف داهيه  علشان الفرسان ترجع	NONLEV
  انسانمستحيلتنساه انسان وقف جاري وساعدني ف محنتي مستحيل انسي حد كان جاري ف ضعفي ف عز ما تخلي عني اعز الناس 	NONLEV
  علي فكره احنا بنحس والله بالناس اللي مش عايزه تكلمنا ف لو انا بعدت متجيش تقولي انت بعدت ليه	NONLEV
  هو الموبايل بيسخن من الحر ليه عايز دش ساقع يعنى ولا اشغلك التكيف ولا احطك فى التلاجة ولا ايه	NONLEV
  بص ع اللوحة بص ع اللوحة النادي الأهلي نفسه مفتوحة	NONLEV
كويس كنت فاكر انه معارض للحكم قلت كيف معارض للحكم ويستقبله الشعب كذا يستاهل الله يقويه	NONLEV
ماتش المقاصة ودجلة التصوير والنقل وحشين اوي وأرضية الملعب نصها طينه وتراب والجو تحس انه مغيم في الفيوم بيحرقوا قش حوالين الملعب باين	NONLEV
في ثانوي كنت بكراش على تلاته من الحته 	NONLEV
الحر ده محتاج كده ‍️‍️ 	NONLEV
مش بكراش دي حبعمري يابو جهل 	NONLEV
علشان عارفين انك سنجل 	NONLEV
أدي نفسك فرصة تانية  فرصة تانية علشان تعيش  كل شئ ف الدنيا اصله  فرحة طلعت من مافيش 	NONLEV
  شكرالاميعشان كلامها ماثر فيا لحد دلوقتي شكراً ل امي انه فيوم قالتلي محدش هيساعدك اعتمدع نفسك انامش هعشلك دايماًماتت امي	NONLEV
كل هذا علشان الاربعه	NONLEV
والله  يا أخي الكبر مخليك مش عايز تعترف أن كونتي أتعامل صح عشان مايبنش شكلك وحش 	NONLEV
لسه لسه اصبري انت شوفتي حاجه   	NONLEV
  هو احنا مش هنبقي مهمين ف حياة حد و يقولنا انه و والكلام ده ولا ايه	NONLEV
  لما تكون راكب في المواصلات ويركاب معاك حد تعرفه وانت مش معاك غير حق مصلتك  	NONLEV
  اتنين ايدك منهم والقبر - المطيباتي اللي مبيحلش ولا يربط - والمحايد علي طول الخط وعارف الغلط فين	NONLEV
أنا عايزة اروح عند الكعبة أنا كمان يا رب 	NONLEV
  مهما كنت واثق ف حد خلي سرك لنفسك	NONLEV
رسمنا كتير النهاردة كفاية  نكمل الرواية بقا 	NONLEV
فريق الهاند السنه دي ما شاء الله يارب الماتش ده يكمل علي خير	NONLEV
  مفيش شوية حظ كده يجولى اعيش بيهم يومين حلوين فى حياتى البائسة دى طيب	NONLEV
اسألوني أو احكولي أي حاجة وعدوا معايا الوقت ده بليز 	NONLEV
  لما حد يجي يوصف حماته  	NONLEV
اتخانقت مع حد بسبب انه عمل حاجة ف عشان يصالحني بقى  راح عمل نفس الحاجة 	NONLEV
  مفيش حد مثلاً يكلمنى دلوقتى يقولى يلا ننزل ناكل ونلف فى الشوارع ونسمع اغانى مع بعض طيب	NONLEV
  بص لما حد يدخل حياتك ابقى سيب الباب موارب عشان محدش بيطول والله 	NONLEV
جمهور الاتحاد واعي وعارف فين الشيك  مالك دخل مالك دخل امس لاقم اربعه وليتك تتكلم عن مشاكل ناديك تحاول تصرف الموضوع بالشيك	NONLEV
  ياريت نهتم بـ بيدج رنا شويه ع الفيس ونهتم بالـ كومنتات عشان التفاعل مش حلوو   	NONLEV
هو فى ايه  هى الناس بقت أنانية ليه كدة سنة مقابلتش فيهم حد مش بتاع مصلحته ارحمنا يارب	NONLEV
طب والله كويس انك قولت علي نفسك كده و اهم حاجه الصراحه ف اي علاقه  	NONLEV
  ماتتهد بقا يامحمود ف ليلتك اَلي مش فايتة دي ايوه بتحبك اكيد يعني 	NONLEV
تميموالاخوانتحتالبياده يعني انا استلم بيادة من الجيش علشان احافظ عليها اقوم ادوس بيها علي أوسخ خلق الله وانجسها البيتدة انظف منهم	NONLEV
  نفسي انزل سكرينات صراحه بس هتضرب   	NONLEV
معلش والله تاعبك معايا اللوجو بقا	NONLEV
مستوانا فى الشغل بتاع العملى زفت لدرجة ان عمو العامل بيقولنا انتوا فاكرين انكوا هتجيبوا درجات كدة ديه منظر  اصلاً ده قرف ده‍️	NONLEV
هو تقريباً اي واحد بيت  في علشان ياخد صوت نجوي 	NONLEV
  هتعرف مدى بؤسك لما توصل لمرحلة إن فونك أقرب حد ليك	NONLEV
و انتا واحشنى عالطماطم 	NONLEV
الصبح أقلع الكلسون علشان الدنيا حر  طب وبليل لاء بليل ألبس الكلسون تاني 	NONLEV
يا بني دي الحقيقة  انت اللي مش عايز تقتنع 	NONLEV
  التويتات اللي هكتبها مش عليكي متخديش الكلام ع نفسك والتويته دي كمان مش ليكي برضو ومتنتظريش التويتات اللي بعد دي عشان اص	NONLEV
مرحباًبالسيسيضيفالملكسلمانالكبير الملك سلمان  يستقبل الرايس السيسي ربنا يبارك فيهم بس كده الحرقان هايكون زيادة اوي عند الخوارج	NONLEV
  عايز تتكلم ف السياسة ولسة مازهقتش براحتك	NONLEV
بيعمل ايه هنا ده 	NONLEV
العشم كافر بجد بيخليك توجه كل طاقتك الايجابية في انتظار حاجة أو رد فعل معين من حد معين و في ثانية طاقتك دي بتضيع في الهوا	NONLEV
ومعظمهم مبيتندهش ب اسمه برضو	NONLEV
  احتاج منك بس شويه اهتمام صدقني بترضي كل شيء بداخلي	NONLEV
   هى فين الجبهة دى انا مش شايف ايوتها جبهة	NONLEV
  بحسد كل واحد نايم دلوقتي والله 	NONLEV
ممكن الناس اللي اتقمصت 	NONLEV
تميموالاخوانتحتالبيادهطب نوسخ البياده بالعالم الوسخه ده ليه دول تحت الجزم القديمه وبعدين مانولع فى اللى خلفوهم ونخلص	NONLEV
  وببساطه احنا بنرد عليه علشان مينفعش واحد جاهل يتگلم في الدين ويقول حاجه زي گده انا مش شيخ بس ا	NONLEV
ده مش سبب صح اصلاً 	NONLEV
مفكرة اخلي القراية بطريقة جدية جدا الشفتو السمستر دا كفاية والله	NONLEV
  لما تكون مصمم ع حاجه ويجي حد تاني ميوافقش ع كلامك  انت 	NONLEV
هو لما واحد ينشر صورة وبيانات الدليل السيناوي اللي كان في الفيلم بتاع مكمكمين	NONLEV
هو اليوم ده مش راضي يخلص ليه 	NONLEV
  لما ابقي عايزة اوري لحد صورة حد انا بحبه بحس ان مفيش ولا صوره مبينه حلاوة الشخص ده زي مابشوفه الهو الصور اهي بس الشخص ده ا	NONLEV
اي والله منجد ناس تتمنى وحمير تتهنى 	NONLEV
  مفيش أمل خالص انى اذاكر	NONLEV
  فيه مواقف بسيطه تنبهكّ لوضع حد لمشاعرك	NONLEV
كل الناس وحشين و ميستاهلوش حاجة	NONLEV
  عندي شوية بيسيات حلوھہ إنما إيه ̮ مش عاوز اغامر بيھا فِ الوقت الميّت دھ 	NONLEV
اشطا اوي انا بحب كده	NONLEV
احلي شبراوي ف الوجود  ماتنساش ننزل بدري بكرا عشان نخرب المعمل 	NONLEV
منوره فين بقي  هو في نور بعد نوركو يا سطاا	NONLEV
ايه يا ماتيتش الجحود ده دانت كافر يا جدع	NONLEV
  طب مفيش فيلم رعب حلو اتفرج عليه دلوقتى طيب	NONLEV
  نجوى كرم لابسة حلو اوي الحقيقة	NONLEV
  لعلمكوا انا كان ممكن انجح واعدي صافي  وبتقدير كمان بس انا مش بعمل كدا  لآني مراعي شعور الزملاء بس  	NONLEV
دمره البنك بس كويس هوا ان شالله مايعتزل	NONLEV
علي اساس انك شجاع اوي يعني 	NONLEV
اشطه الاقوياء ع النعمه انت بتفهم ياعم ووسيم ويجنن كمان ايه الخير ده  	NONLEV
  عندى سويتشريت مكتوب عليه  بحبه فشخ علشان واقعى 	NONLEV
انا فاهم كويس و عارف انا بقول ايه  مش انتي اللي هتيجي تقوليلي انا فاهم ولا لأ دي اول نقطة 	NONLEV
تميموالاخوانتحتالبيادة نعلم قيمة جيشنا والظاهر ان اعداؤنا يعلمون قيمته اكتر مننا علش 	NONLEV
انا لو مكانك بردو اكيد حعمل زيك	NONLEV
مفيش كلام يوصف الجو دلوقتي	NONLEV
  مبحبش اغير على حد مش من حقى ان اغير عليه عشان الموضوع بيبقى مُتعب فشخ والله	NONLEV
  طيب ما انا مصروفي  جنيه و مش مكفيني بردو جنيه ايه يبني ف السنه لازم تستفسر يعني  	NONLEV
  هتروحوا فين يا خونه جنب بيادة اصغر عسكرى بجيش مصر  تميموالاخوانتحتالبيادة	NONLEV
  كمية المذاكره اللي المفروض اذاكرها كبرت اوي 	NONLEV
انتى فين و الحب فين 	NONLEV
  اعتقد ان في الجو ده مافيش سبب يخلينا نبوس بعض لما نتقابل 	NONLEV
  ماتعملوش الابديت الجديد بتاع تويتر ياجدعان نصيحه يعني ️	NONLEV
كفاية بقي البنت خدت كمية ار حيخلص بشلل نصفي هي ناقصة المعلومة دي كمان	NONLEV
حد يقولي خليكي كيوت و حد يقولي الفاظكقولنا ملناش في محن البنات ده مضايقاك خرا خرا خرا خرا خرا 	NONLEV
ممكن نكون صاحب مش كامل لكن عمرى ما صاحبت حد  على خاطر مصلحه 	NONLEV
لو سمحت ايه تفسير الحلم ده 	NONLEV
هو قوى البيت فشيخ بس انت داخل تظيط وخلاص مش فاهمه بتحشر نفسك ف البيف لية عايز فيوز خد فيوز  	NONLEV
  لا و شاحن اللابتوب ضايع كمان  و البطارية خربانة  كملت و الله  شو هاليوم القذر	NONLEV
الفاشلوفولورزالجاتوه لم علينا عبيدك يارب والله عملت شويه فلورز حلوين 	NONLEV
خلااص ماشي  مع انه حاس انه الترجمه غلط 	NONLEV
ده طبعا حازم بلوك هو لسه مش مبلكك ازاي 	NONLEV
الاكل كابس علي نفسي و شكلي هنام بدري اوي انهارده 	NONLEV
اسألالرئيس بالنسبة لفيديو تسريبسيناء  عندك خبر ولا عامل نفسك من بنها 	NONLEV
ايه ده مش قولتوا ليه كنت جيت معاكم  	NONLEV
معارك قولي خناقه في حاره على كام معزه او ستات ماكانش فيه حضاره علشان يبقى فيه معارك عركه ممكن هو نسونجي	NONLEV
احنا محتاجين حد يقف معنا موظف تم فصلنا بدون سبب	NONLEV
  احنا نعمل حوار ده مع شركة مصر للطيران عشان نهرب من مصر بس	NONLEV
المفروض اللي عايز يهري براحته بس بعيد عن الاديان محدش هيتحمل حرف علي دين سماوي	NONLEV
كل اما ازهق اقوم آكل  وكل انا اتضايق وهعيط بقوم آكل  انما بقاا لما بكون مبسوطه بآكل برضو  	NONLEV
ده حب عمره كمان يا بكلا 	NONLEV
  بجد انا نفسي اتعلم من أجل التعلّم مش من أجل امتحانات	NONLEV
  تشيلسي ملعبش بربع جنيه مخروم ايه الظرب ده	NONLEV
ه شويه كده وهاترقص	NONLEV
كلو ماشي المهم رضا النفس عن هالماشي	NONLEV
يوم مايوصل بيكي ااحال انك تسألي نفسك بيحبني ولا لااعرفي ان الاجابه لا لما هايحب  بجد مش هاتحتاجي السؤال 	NONLEV
تويته كمان في الموضوع ده و انا اللي هتصدي لك يا رع  انت عاوز تغطيهم اكتر ما هم متنيلين 	NONLEV
فيه ناس لعبو على الحكم القضائي وخالفوه علشان هالحبيب شيلوه وربعه المخالفين واجد	NONLEV
شكلها هتكبر ف دماغي وابعته ف جروب تويت ديك بتاع الدعم يدوني الف صوت 	NONLEV
دلوقتي مفروض اشرب شاي عشان افوق والجو حر ع الشاي  طب اعمل ايه	NONLEV
  بتصرففلوسكفين ف الجمعيات عايز اعمل ثروه 	NONLEV
  -مش هتلم نفسك وتذاكر بقي 	NONLEV
الشيخ ياسين مكيفني اوي يا جـدع يكش تقول كوبايه الشاي ظبطت ع صوته	NONLEV
  لا عتاب هيشفى جراح ولا هيجيب اللى راح انا عايز فلوس	NONLEV
  أنا مش محتاجه حدّ يحبني بس	NONLEV
هتعملي زي بني اسرائيل لما قالو عايزين بقره بعد كدا قالو ما لونها ما حجمها ما وصفها  انت قولتي نزل 	NONLEV
على فكره أنا ماسكه الموبايل  ساعه	NONLEV
  يعنى احنا ولا عندنا حد بيكلمنا الساعة  ولا حد يكلمنا  حتى ننتحر طيب	NONLEV
اعظمناديفالكون الأهلي ده حياتنا شفنا معاه المعجزات وتاريخه كله يحكي عن أغلي الأنجازات من صغرنا وراه في الازمه ننسى اللي فات 	NONLEV
معلش رغدة ساعات بتفلت منها شوية 	NONLEV
ايوه  بس ما ليش انا في الاندرويد خالص	NONLEV
  اعظمنادىفالكون جاى الليله علشان افديك بروحى وبقلبى وعنيا 	NONLEV
خليكى كده بتتقلي عليه لحد م تيجي واحده مايصه ف اعدادي تشقطه منك 	NONLEV
معلش خير بقى 	NONLEV
لما تكون شخص كويس حيكون عندك مشاكل كثير مع الناس بس جرب تكون شخص وسخ محا يكون فيه اي مشكلة 	NONLEV
الباعك بيعه ولي نساك انساه ولى قدر  على فراقك اقدر على فراقوا هى الحياه لازم تعشها كده لو عايز تعيش مرتاح لازم تعلم قلبك يائسه	NONLEV
شبيحةبلحة  شبيحةالسيسي  تسريبسيناء  الى بيقتلوا فى سيناء هم الى قتلوا فى رابعه 	NONLEV
نعم اختي فضيحه بالسناب وهنا كمان   بس احسن انه فاتتس امس ه	NONLEV
الواد و البت دول ما خدوش دورات كويسة في الموساد 	NONLEV
عاجل نايف هزازي يطلق عروسته بالتراضي والعروسة كوشة احتفال الهلال تطلب تأخير العرس علشان تكمل عدتها للزواج من الهلال  	NONLEV
  هلتتزوجفتاهتاكلالرز لا طبعاً ازاي اتجوز فتاه تاكلالرز انا هتجوز فتاه متاكلش اصلاً علشان متتعبنيش ف المصاريف 	NONLEV
  والي عنده معزة يربطها وانا مش هصالح حد والسلام عليكم وروحمه الله وبركاته 	NONLEV
 حبيبي اوي نيوتن	NONLEV
فاهمگ بس لازم تحصل المناقشه دي علشان الناس تفهم ان ده الحاد وغلط وجهل	NONLEV
  انثيالسرطان دايما عندي فوبيا اني اكون تقيله ع حد حتي اقرب الناس ليا	NONLEV
  دلوقتي هتقدر تشتري عربيتك من نيسان خلال فترة الربيع و لحد يوم  مارس 	NONLEV
دي بتقولي انا اللي هعمله كمان  هي مش عاوزاني احبه لاا	NONLEV
ه بجد حلو يا سوسوو   	NONLEV
يا جدعان مفيش حاجة إسمها جوتزة هيعتزل هو بس عنده إصابة سب سوء التمثيل الغذائى ومش هيلعب لأخر الموسم	NONLEV
اكره ما عليي انو الدكتور يحددلي موضوع البرزنتيشن وموعده كمان 	NONLEV
  العين بتفضح 	NONLEV
مرتضى منصور  و رحمة امي الماتش هيتعاد غصب عن  ام مشمش  عادي فيك برضو ي مرتضى جهاد كان بيحكم أنهاردة  	NONLEV
بنسبه لبنوتات الجروب بتاع لمار طبعا هو حصل سوء فهم بسبب قصه امنيه ولمار فكرتني ان انا ال دخلت امنيه عشان تنزل 	NONLEV
وانا مش عارفالك اتجاه انتى كمان  ف هسكت برضه 	NONLEV
اها غيري الموضوع كالعادة  ماشي حالو  بس موهبتو مكررة	NONLEV
ه ده في نص الجبهه وربعها وكلها دي طيرتها خالص	NONLEV
انا فيه واحد كل ما يكتب تويته يجبهالي دي ام يقولي رتويت  يكونش الاكونت ده بتاعه و انا مش واخد بالي 	NONLEV
فتاة تعبانة اوي تقلع ملابس وتمارس العادة السرية  جنس عاهره ديوث  	NONLEV
سؤال بيطرح نفسه هو أحنا بنحب الناس اللي بتحبنا علشان هما بيحبونا ولا هما حبونا فأحنا حبينا حبهم لينا ولا أيه بظبط	NONLEV
ذاكر ياعم م انت محظوظ النهارده ذاكر يا سيدي	NONLEV
  هشيش هاجة تيجي كده 	NONLEV
  العلاقة اللي بتبقى بين الاثنين بس هما و بس  	NONLEV
  قالوا تشجيعكم ليه جنون دا حبي ليه يملي الكون مش وهم في يوم منه هفوق دا روح و ده في العروق  اعظمنادىفالكون	NONLEV
متيجي نعمل زي و نحب بعض ف آخ —  لا 	NONLEV
اسالالرييس هل أنت بلحة ابريمي ام بلح زغلول	NONLEV
  هذاكر امتى بجد والله	NONLEV
اول مره يجي منك شيء كويس	NONLEV
ليه ماعندكوش هوا بردو ولا ايه 	NONLEV
  بموت فيها بجد جميلة اوي  أمينةخليل ️ 	NONLEV
  والله ياخ بولس قصدي ياخ لمبي لو عالضيق والبيرفيوم تبقي سهله دول دلوقتي بيركبوا في عينيهم والعياذ بالله عدسات لاصقه 	NONLEV
  واللي بيصيبهم بيصيبنا وأكتر كمان وكفايه علينا نشوف ونسمع كلام مالهوش معني ومنرديش مش عشان معندناش ر 	NONLEV
ولا جديد ولا قديم الوحده اريح بكتير 	NONLEV
موضة الناس الحافظة مش فاهمة مسّخت اوي و حاجة مقرفة فعلا كله بقى عامل فيها روش و إله الجمدان عند قدماء المصريين	NONLEV
يمكن عاوز رز  يمكن	NONLEV
  معنديش الحد اللى يسأل عليا كل يوم  ويحس بغيابي ده انا لو مت محدش هيحس بيا 	NONLEV
  ورد فعلي ميجيش  من فعله معايا 	NONLEV
مش عايزه دي في دي 	NONLEV
طول محنا فينا نفس هيفضل فيه أمل لكل مشاكلنا بس محتاجة شويه صبر و إيمان ان ربنا مش هيسيبك	NONLEV
أه والله	NONLEV
لما تفتكر ان مفيش مدافعين غير بايلى ف الفرقة و وراك ماتش بكرة 	NONLEV
  بحسد كل واحد نايم دلوقتي 	NONLEV
  دي المشكله سعادتنا لما تكون واقفه ع حد	NONLEV
يلا واحد اتنين تلاته هوبا  يارب ياخدنا  تقى ومريم  ياارب كل اللي يشوف يقول امين وان لم تقل اعلم ان الشيطان منع 	NONLEV
انا عارف ان الماتش ده حارق ناس كتير بس معلش	NONLEV
هو انا جبت سيرة اني عاوز اتجوز  	NONLEV
كل الناس دايره تلحق تعرس قبل رمضان ده كلام شنو يا خوانا 	NONLEV
  علي فكرة البنت اللي بتنام معيطة بسبب ولد الملايكة بتحطله سكشن  في الجدول	NONLEV
 انت علوضعك ي علوه 	NONLEV
أوعى تصدق حد لما يقولك جرب ومش هتخسر حاجه  أصل أنت اللى هتجرب وهو مش هيخسر حاجه	NONLEV
البنات المحجبة ف الحر ده ليها الجنه والله او البنات عموما عشان مينفعش تلبسي مينفعش تعملى  والمنتقبات يالهوى واسود كمان لا احنا لنا الله️	NONLEV
ياجدعان كفايه محن هاتدمروا صحتكوا	NONLEV
ميدو تسلم بجد 	NONLEV
  ريتويت وهرغى معاك شويه 	NONLEV
هي فين دلوقتي	NONLEV
 ⁧حفلايهاباميرفيمراكش⁩ ⁧ايهاباميرفيقفطان⁩ ⁦⁩ ⁦⁩ هاتي ي رووحي بموت فيكي انا 	NONLEV
  معلش جزم جيشنا هاتتوسخ من تميم والاخوان واعوانهم بس لازم يدوس علي راسكم ايها الانجاس تميموالاخوانتحتالبيادة	NONLEV
- ليه كل حاجة حلوة بتخلص بسرعة  - معلش ابقى اشتري كيلو بدل ما أنت مقضيها اربع وهي تكمل معاك	NONLEV
  اصعب حاجه لما اكتر حد ممكن تثق فيه يخزلك 	NONLEV
حد يقول لامي اني متضايقه ومستحمله كلامها دا بالعافيه	NONLEV
احنا ف موسم التزاوج والخطوبات دلوقتي	NONLEV
كان يوم حلوو والله اعبال كل سبت  بس انتي الي ف الوش يعني تقريبا انتي هتطردي قبلي 	NONLEV
شكرا كونتي  البعض يقول عك والبعض يقول حظ  واحنا نقول هذا هو الفارق بين الكبير الإيطالي والشاب الأرجنتيني كونتي أظهر شخصية البطل تشيلسي	NONLEV
ده حقيقي  بس انا حاسة انه ميتطلبش برده	NONLEV
  مبلاش اللون ده معانا راح تتعب اوى ويانا	NONLEV
خلاص كدة بقيت بنووتة كراازي حرفياً  ده نورك يا بيعو 	NONLEV
  ويقولك على الكلب نجس طب ده ولاا السلفى و الداعشى 	NONLEV
و إن حياتنا خلاص مش هتكمل غير بيهم و إن مفيش حاجة ممكن تبعدهم عننا و إن خلاص هما دول الي هنكمل معاهم حياتنا بس مفيش نقاش -ميشوا اه ميشوا	NONLEV
هو الخرا ده المفروض انه موسيقى 	NONLEV
  واحشني ان يكون ليا حد بحبه افضل اتكلم معاه لحد الفجر	NONLEV
جديده دي ي شغب هجربها النهارده 	NONLEV
اديها واحــده مكرونه و بطاطس محمره ^^ 	NONLEV
  انا يمكن بعمل كل حاجة غلط بس عمري ما أذيت حد معايا	NONLEV
  كل الحكايه اني بسأل ع كل صحابي والناس اللي اعرفهم وبضايق لما بكون مقصره مع حد بس اكيد بيكون في سبب للتقصير دة غصب عني	NONLEV
انت عاوزه الاجيال الصاعده تاخده تنتفع بيه ومايشتروش الكتاب السنه الجايه 	NONLEV
الحقيقه رخم اوى	NONLEV
انتي كمان متابعتني	NONLEV
حد يخبي الجزيرتين في اي حتة بسرعة 	NONLEV
بيقولي مالييك   قلتله مالك وكتابه   انا بتشتم واضرب كتير بسبب البيض ده 	NONLEV
والحاجه اللي تعوزها بجد متقولش عليها لحد	NONLEV
  الناس تعمل الغلط وعادي اشطة تيجي توريهم رد فعلك يتقمصوا اللي هوا انت حيطة انت نسيت ولا إيه ازي تزعل إحنا بس اللي نزعل	NONLEV
الكلام اللي بتقوله ياسمينا ده مظبووط ولا ده النت 	NONLEV
  شكرا تقيم مرا كويس	NONLEV
تصدق اقنعتنى امال ف شهر  هاتعمل ايه  خلاص نخلى الصين تعملنا باور بنك للتكيف والمروحه عشان حضرتك تنام  	NONLEV
  الفراغ وحش اوي والله  	NONLEV
اللهم بلغنا رمضان لا حاملين مواد ولا حاملين مواد برضو	NONLEV
ماحد يعبرني يا جدع 	NONLEV
وبكره كلاسيكو وماتشات تانيه يعني اليوم ضاع هو كمان ️	NONLEV
فلوسي كلها ضايعه علي ال  و بردو مش عارفه اعمل 	NONLEV
انا مش فاهمكم والله  يحرق الساي علي الي عايز يشربه  جوازات ايه ديه ولا علاقات ايه ديه ااي تقف علي كوباية شاي 	NONLEV
انا مبحبش أزعل حد مني حتى لو مبحبوش	NONLEV
=لو سمحت كنت عاوز اعمل شعرى زى حسام غالى هيتكلف كام -ج =مش كتير -ماهو حسام غالى بقى 	NONLEV
البرلمان هو صوت المواطن لازم تنتخب شخص مناسب مش لانه ولد فلان  هذا واجب وطني صوتك وص 	NONLEV
  بتتوقف على النفسيات والله  	NONLEV
 انتي جميلة جدا والله و روحك اجمل  سيبك من الكلام الفاضي ده  و بعدين فين ديفيد 	NONLEV
مش رجوله خالص يعنى بس بنقول لمين ولا الهوا اساسا 	NONLEV
انا معنديش مشكله في الانتظار  لان ده العادي يعني المشكله ان ضغطي عالي ومش قادره ابص في الموبايل ولا افتح عيني اصلا 	NONLEV
فين ابراهيم المعيدي  والله طول بالحيل 	NONLEV
بيوم ميلاده كمان 	NONLEV
دي اخر مرة هعزم فيها بشوكولاته علي حد 	NONLEV
انا رايح فين انا راقع تاني ‍️ 	NONLEV
لاتنسى كمان الاية الي في القرآن  المص 	NONLEV
  ده بتاع العام الماضى راجع انت العام ده ده المعلن فقط بدون اذون الخازانه	NONLEV
  شعُور يوجع  لما تكون عايز  تكلم شخص بس ماتكلموش لأنك حاسس أنه مش  محتاجك ولا محتاج لـ كلامك 	NONLEV
محتاجين نشخلعها شويه يسطى بيصى	NONLEV
  ده انا قلبي والله مُشتاق لاغلى الحبايب	NONLEV
ه  شويه ويطلع يراوع الحكم او حد من الجمهور  	NONLEV
اذا كان كده ماشي 	NONLEV
  انا اقولك مغرم ومغرم ومغرم كمان هو انا اقدر بردك  افرح بيكى قريب يارب بولهان اكتر من مولهانى 	NONLEV
اخبار اكساس البنات ايه في الحرده وكم حرارة الهيجان فيها اللي عايزه فشخ تيجي للعاشق	NONLEV
الجو ده مش جو امتحان ابدا شكله كده الاسبوع الجاى	NONLEV
مشاء الله هو ف يوم للارض كمان 	NONLEV
لا إحنا نلم بعضنا ونسأل كلنا السؤال ده  	NONLEV
ساموعليكو اللي في المغرب مش دره يا حوده ده نبات نفس شكل الدره اسم 	NONLEV
لو حد عاوز ينكد علي نفسه او يكتئب يسمع فيلم 	NONLEV
	NONLEV
  دلوقتي المفروض ان ده جدول الامتحانات 	NONLEV
ميسي يلعب دور مودريتش وكروس وييل وكرستيانو ف برشلونه هنا الفرق ميسي يبني اللعب ويصن 	NONLEV
و أى كلام هيوصف ايه فى لحظة بعيشها وانا وياك 	NONLEV
 مفيش من منخير  البشر  	NONLEV
  ده خروف ف  ريحته طالعه	NONLEV
ممكن حد اتكلم معاه شوية و بعدين اعمله بلوك 	NONLEV
بس عيل صايع	NONLEV
  انا خلاص فركشت  - ان شاء الله تلاقي ابن الحلال اللي يعرف قيمتك كويس  	NONLEV
الراجل ده بقول كلام زي الفل 	NONLEV
واحنا اللي صعبان علينا جماهير ارسنال اتاري جماهير توتنهام كمان شايله ومعبيه 	NONLEV
  يا جماعه موبايلي و مفيش فيه و مكسور لو حد شافو فى النادى او كده يكلمني  	NONLEV
  ازاي بتنام وانت مبسوط 	NONLEV
وبخاف لاتشوفك عين حد الا عيني 	NONLEV
في حاجة كمان عايز أتكلم فيها	NONLEV
  عموما لو انت مش اخوانى مستعد لأى سؤال حتى لو متعاطف معاهم إم لو اخ 	NONLEV
هما لحقوا يعملوله  وصفة  وبيعاملوه معاملة الخضار مش الفاكهة كمان انا كضياء انبهرت 	NONLEV
  ايوه اللمعان اللي كنت بشوفه ف شخصيتك انطفي ف عيني لما انت ظهرت ع حقيقتك قدامي 	NONLEV
اتطنز  متأثره بصديقتي الكويتيه كويس انا اصلا احب اتكلم بلهجات كثيره	NONLEV
  احساسي لو مرة اتأذى يمكن اموت بعديه وعشان كده متحفظه ومش عايزه اغامر بيه 	NONLEV
فيلم سكس ممتع اوي بوس وتفيش ونيك باوضع ساخنة  ممحونه زب مص  	NONLEV
  الكيان مبنى على الحرية مهما كان  دى مبادىء وتاريخ احرار زمان  اللى علوا اسم الاهلى فين ما كان حلم لطفى وسعد هنصونة	NONLEV
انت متاكد انك وصلت بيتكم بعد كل ده  حمد لله على السلامة يابنى انت بقا تاخد اجازة لاخر التيرم كفاية عليهم كده	NONLEV
  ليه كل الناس عايزه تسافر وتسيب مصر فين الانتماء فين الولاء فين المطار 	NONLEV
عمرو خالد مفيش بعد الشعراوي	NONLEV
 ماليش مزاج  ده أنسب رد لأى حاجة مش عاوزه أعملها 	NONLEV
  لو سمحت ممكن تعيد الموقف اللي حرقت فيه دمي ومعرفتش أرد من الصدمه عشان انا فكرت وسألت صحابي وذاكرت كويس وعايزه أنتقم	NONLEV
مين مصطفى كاسر عين ابليس دا — مش عارفه اجيب اللينك معلش هو شخص محترم و معاه اجازات في القرآن 	NONLEV
شفت منة طايرة من الفرحة علشان منشن البيوديزل هيخلص اهو	NONLEV
من غير فشخره  -عامل باقة بگٱم  ملوگ الواى فٱٱى تشربوا ايه	NONLEV
  ف ناس عاملة زي الافاعي بتتلون بألف لون علشان توصل لهدفها تلاقيها بتتلون بلون الطيبة او الاحترام او الاخلاق الخ بس ف الن	NONLEV
  لأ الجمجمة بتاعتي دي بتخم ومش قادرة تستوعب لحد دلوقتي الدنيا صح وتتعامل معاها كما يجب ان يكون 	NONLEV
